,frameNum,carId,carCenterXm,carCenterYm,speed(m/s),heading,laneId,angle,cos,sin,speedX,speedY,distanceX2,distanceY2,distance2,distance,newspeedX,newspeedY,newspeed1,newspeedminus,2DTTC,distanceneat,TA,DA,AA
20,0,25,178.4193769,27.68961544,14.9879967,359.8484326,4,0.1515674,0.988535634,0.150987748,14.81616882,2.26300387,15401.01772,0.012466098,15401.03019,124.1008871,-3.188744132,-3.42987473,21.9321298,4.683175184,26.49930491,120.1008871,0,0,0
21,0,26,239.1578882,24.11676184,8.990999999,359.6755869,3,0.3244131,0.947837966,0.318752555,8.522011147,2.865904219,34165.58465,13.57557916,34179.16023,184.8760672,-9.482901807,-2.826974381,97.91721083,9.895312569,18.6831963,180.8760672,0,0,0
22,0,28,262.3814367,27.41048626,10.7892,359.261184,4,0.738816,0.739266398,0.673413092,7.976093019,7.265588537,43290.16899,0.152709681,43290.3217,208.0632637,-10.02881993,1.572709937,103.0506458,10.1513864,20.49604414,204.0632637,0,0,0
23,0,12,54.31853998,27.80126712,18.88347842,0.306238248,4,0.306238248,0.953474384,0.301474044,18.00491295,5.6928786,0,0,0,0,0,0,0,0,,-4,0,0,0
24,0,11,76.81635251,27.29883458,19.80062355,359.4476691,4,0.5523309,0.851303876,0.524672957,16.85634757,10.3888517,506.1515686,0.252438457,506.4040071,22.50342212,-1.148565387,4.695973101,23.37136582,4.834394049,4.654858891,18.50342212,0,0,0
25,0,15,149.166638,28.08039631,16.5080027,359.7707995,4,0.2292005,0.973848352,0.227199004,16.07629122,3.750601779,8996.161698,0.077913105,8996.239611,94.84850874,-1.928621733,-1.942276821,7.492021035,2.737155647,34.65221602,90.84850874,0,0,0
26,0,1,87.81404254,32.65811497,14.38872154,359.5958056,5,0.4041944,0.91941952,0.393278204,13.22927146,5.658770561,1121.948692,23.58897104,1145.537663,33.84579239,-4.775641497,-0.034108039,22.80791506,4.775763296,7.086991187,29.84579239,0,0,0
0,1,42,155.1958285,30.92751404,14.68835784,359.771754,5,0.228246,0.97406477,0.226269363,14.3074119,3.32352537,10300.49874,10.48398734,10310.98273,101.5430093,-4.080779986,-0.973003062,17.59950025,4.195175831,24.20470878,97.54300925,0,0,0
1,1,15,148.7758572,28.08039631,16.5080027,359.6931661,4,0.3068339,0.953294641,0.302041929,15.73699051,4.986108982,9038.571372,0.152709688,9038.724081,95.07220457,-2.65120137,0.68958055,7.504390039,2.739414178,34.705305,91.07220457,0,0,0
2,1,21,271.536874,23.89345849,8.995993615,359.7761722,3,0.2238278,0.975054963,0.221963555,8.771588218,1.996782728,47450.96244,14.41080759,47465.37324,217.8654935,-9.616603664,-2.299745705,97.76789633,9.887764982,22.03384626,213.8654935,0,0,0
3,1,0,52.64376484,13.00742016,8.06966946,33.04198877,2,33.04198877,-0.055237778,0.998473228,0.445750613,8.057348918,1.125065228,215.5668582,216.6919235,14.72045935,-17.94244127,3.760820486,336.0749694,18.33234762,0.802977319,10.72045935,1,0,1
4,1,11,76.03479078,27.24300874,19.80062355,359.444905,4,0.555095,0.849850377,0.527024038,16.82756739,10.43540459,498.6438621,0.199457544,498.8433196,22.33480064,-1.560624496,6.138876153,40.12134924,6.334141555,3.52609749,18.33480064,0,0,0
5,1,8,114.3871412,32.15568244,13.79922428,359.6648408,5,0.3351592,0.944357958,0.328919516,13.03140726,4.538834169,3682.388312,19.94575445,3702.334067,60.84680819,-5.356784624,0.242305737,28.75385358,5.362261983,11.34722779,56.84680819,0,0,0
6,1,37,253.9517352,24.28423935,9.590399998,359.6874366,3,0.3125634,0.951548455,0.307498843,9.125730296,2.949036907,40098.97292,11.59658631,40110.56951,200.276233,-9.262461585,-1.347491525,87.60892802,9.359964104,21.3971155,196.276233,0,0,0
7,1,18,128.0644714,23.27937427,12.5874,359.5801461,3,0.4198539,0.913148504,0.407627046,11.49416548,5.130964684,5529.411926,19.45022718,5548.862153,74.49068501,-6.894026398,0.834436252,48.22388383,6.944341857,10.7268171,70.49068501,0,0,0
8,1,17,72.18280799,19.81817234,11.58021564,9.989159739,2,9.989159739,-0.844919445,-0.534893571,9.784349368,6.194182893,341.4495011,61.95961648,403.4091176,20.08504712,-8.603842513,1.89765446,77.62719844,8.810629855,2.279638056,16.08504712,0,0,0
9,1,48,278.9058846,27.68961544,10.50661176,359.5016555,4,0.4983445,0.878375048,0.477972044,9.228745608,5.021866702,50715.68355,0,50715.68355,225.2014288,-9.159446273,0.72533827,84.42157164,9.188121225,24.51006287,221.2014288,0,0,0
10,1,32,259.3110156,31.03916569,11.99174566,359.4800807,5,0.5199193,0.867859275,0.496810103,10.4071477,5.957620399,42274.05745,11.21948688,42285.27694,205.6338419,-7.981044186,1.661091967,66.45629282,8.152072916,25.22473045,201.6338419,0,0,0
11,1,39,204.4342172,23.39102595,12.59096735,359.5742784,3,0.4257216,0.910740965,0.41297808,11.46710976,5.19979352,22719.46098,18.4778716,22737.93886,150.7910437,-6.921082125,0.903265088,48.71726561,6.97977547,21.60399634,146.7910437,0,0,0
12,1,25,177.8611185,27.68961544,14.9879967,359.8484326,4,0.1515674,0.988535634,0.150987748,14.81616882,2.26300387,15414.8769,0,15414.8769,124.1566627,-3.572023059,-2.033524563,16.89457088,4.110300583,30.20622464,120.1566627,0,0,0
13,1,26,238.9345849,24.11676184,8.990999999,359.7572012,3,0.2427988,0.970668889,0.240420273,8.727283982,2.161618671,34310.20074,12.76528285,34322.96602,185.2645838,-9.660907899,-2.134909762,97.89098113,9.89398712,18.72496715,181.2645838,0,0,0
14,1,31,227.9368949,25.95901448,12.89058441,359.8484326,3,0.1515674,0.988535634,0.150987748,12.74280203,1.946320311,30356.94285,2.994979683,30359.93783,174.2410337,-5.645389847,-2.350208121,37.39390474,6.11505558,28.4937776,170.2410337,0,0,0
15,1,41,205.4390823,31.2066432,14.39808208,359.4389592,5,0.5610408,0.846701794,0.532067733,12.19088192,7.660754894,23023.39689,12.36948426,23035.76638,151.7753813,-6.19730996,3.364226462,49.72467042,7.051572195,21.52362298,147.7753813,0,0,0
16,1,23,179.4800678,21.66042498,12.60166335,0.371002293,1,0.371002293,0.931964433,0.362549715,11.74430204,4.56872946,15819.50458,36.3511376,15855.85572,125.920037,-6.643889846,0.272201028,44.21536568,6.649463564,18.9368715,121.920037,0,0,0
17,1,28,262.0464816,27.52213793,10.7892,359.2632241,4,0.7367759,0.740638688,0.671903515,7.990898938,7.249301401,43406.39973,0.028048716,43406.42778,208.3420932,-10.39729294,2.952772969,116.8225688,10.80844895,19.27585485,204.3420932,0,0,0
18,1,22,174.9023491,32.04403079,14.9879967,359.6298885,5,0.3701115,0.93228702,0.361719384,13.97311477,5.421448937,14688.92935,18.96093304,14707.89028,121.2760911,-4.415077107,1.124920505,20.758352,4.556133449,26.61820434,117.2760911,0,0,0
19,1,20,201.3079703,27.52213793,14.69752756,359.6796671,4,0.3203329,0.949130646,0.314882544,13.94987383,4.627994863,21786.7975,0.028048716,21786.82555,147.6036096,-4.43831805,0.331466431,19.80853711,4.450678275,33.16429552,143.6036096,0,0,0
20,1,1,87.53491334,32.65811497,14.38872154,359.5999932,5,0.4000068,0.921058346,0.389424606,13.25285206,5.60332221,1144.49986,24.68598758,1169.185848,34.1933597,-5.13533982,1.306793777,28.07942504,5.299002268,6.452792048,30.1933597,0,0,0
21,1,6,52.69959069,32.09985661,14.985,359.6315707,5,0.3684293,0.932894185,0.36015058,13.97941936,5.39685644,1.009753809,19.45022718,20.45998099,4.523271049,-4.408772524,1.100328008,20.6479969,4.544006701,0.995436703,0.523271049,1,1,1
22,1,5,28.13622214,25.62405945,19.48971936,359.5031635,3,0.4968365,0.879094831,0.476646912,17.13331154,9.289714545,653.7345704,4.266521548,658.001092,25.65153196,-1.254880339,4.993186113,26.50663222,5.148459209,4.982370632,21.65153196,0,0,0
23,1,12,53.70445576,27.68961544,18.88347842,0.229538798,4,0.229538798,0.973771435,0.227528442,18.38819188,4.296528432,0,0,0,0,0,0,0,0,,-4,0,0,0
24,1,9,114.7779221,28.41535133,17.39293141,359.6381499,4,0.3618501,0.93524348,0.354005132,16.2666257,6.157186982,3729.968291,0.526692582,3730.494983,61.07777815,-2.121566186,1.860658549,7.963093319,2.821895342,21.64423933,57.07777815,0,0,0
25,1,19,133.2004485,31.70907576,14.0859,359.3592243,5,0.6407757,0.801632272,0.597817447,11.29171202,8.420796781,6319.612862,16.15606126,6335.768923,79.59754345,-7.09647986,4.124268349,67.36961581,8.207899598,9.697675087,75.59754345,0,0,0
26,1,43,158.8245079,23.50267762,14.3856,0.071308661,3,0.071308661,0.997458615,0.071248243,14.34904065,1.024948727,11050.22536,17.53044831,11067.75581,105.2034021,-4.039151235,-3.271579705,27.01797647,5.197881922,20.23966756,101.2034021,0,0,0
0,2,21,271.2577448,24.00511016,8.995993615,359.7778544,3,0.2221456,0.97542697,0.220323005,8.774934793,1.982024344,47621.36462,13.57557916,47634.9402,218.2543017,-9.613257088,-2.314504089,97.77164102,9.88795434,22.0727457,214.2543017,0,0,0
1,2,28,261.7673524,27.41048626,10.7892,359.344836,4,0.655164,0.792948015,0.609289295,8.555274727,6.573744062,43569.38458,0.077913099,43569.4625,208.7329933,-9.832917155,2.277215629,101.8719708,10.09316456,20.68062916,204.7329933,0,0,0
2,2,17,71.84785297,19.70652067,11.58021564,9.497752826,2,9.497752826,-0.997338516,-0.072910113,11.54939508,0.844314834,353.9405297,63.72980211,417.6703318,20.43698441,-6.838796801,-3.452213598,58.68692041,7.660738895,2.667756295,16.43698441,0,0,0
3,2,0,52.36463564,12.83994265,8.06966946,32.65017914,2,32.65017914,0.330226685,0.943901656,2.664820196,7.616974368,0.448779515,220.512782,220.9615615,14.86477586,-15.72337169,3.320445935,258.2497784,16.07015178,0.924992873,10.86477586,1,0,1
4,2,12,53.03454572,27.68961544,18.88347842,0.229538798,4,0.229538798,0.973771435,0.227528442,18.38819188,4.296528432,0,0,0,0,0,0,0,0,,-4,0,0,0
5,2,42,154.4700926,30.98333986,14.68835784,359.771754,5,0.228246,0.97406477,0.226269363,14.3074119,3.32352537,10289.17017,10.84862055,10300.01879,101.4890082,-4.080779986,-0.973003062,17.59950025,4.195175831,24.1918366,97.48900823,0,0,0
6,2,19,132.5863643,31.70907576,14.0859,359.3550367,5,0.6449633,0.79912183,0.601169111,11.25635019,8.468007983,6328.491839,16.15606126,6344.647901,79.65329812,-7.131841691,4.17147955,68.26440754,8.262227759,9.640656302,75.65329812,0,0,0
7,2,26,238.543804,24.11676184,8.990999999,359.7572012,3,0.2427988,0.970668889,0.240420273,8.727283982,2.161618671,34413.68491,12.76528285,34426.45019,185.5436611,-9.660907899,-2.134909762,97.89098113,9.89398712,18.75317391,181.5436611,0,0,0
8,2,23,179.089287,21.71625082,12.60166335,0.295221632,1,0.295221632,0.956737682,0.290951901,12.05648618,3.666477907,15889.7978,35.68108488,15925.47888,126.196192,-6.331705704,-0.630050525,40.48746079,6.362975781,19.83288895,122.196192,0,0,0
9,2,39,203.9317847,23.39102595,12.59096735,359.5764259,3,0.4235741,0.911625735,0.411021313,11.47824986,5.175155931,22769.97673,18.4778716,22788.4546,150.9584532,-6.909942019,0.878627498,48.51928499,6.965578583,21.67206233,146.9584532,0,0,0
10,2,32,258.9760605,31.03916569,11.99174566,359.4817629,5,0.5182371,0.868693781,0.495349488,10.41715487,5.940105074,42411.90751,11.21948688,42423.127,205.9687525,-7.971037007,1.643576642,66.23877514,8.138720731,25.30726379,201.9687525,0,0,0
11,2,25,177.4145118,27.68961544,14.9879967,359.7707995,4,0.2292005,0.973848352,0.227199004,14.59603588,3.405257929,15470.37596,0,15470.37596,124.3799661,-3.792155998,-0.891270503,15.17481022,3.895485878,31.92925606,120.3799661,0,0,0
12,2,9,114.1638379,28.41535133,17.39293141,359.5658092,4,0.4341908,0.907210751,0.420676424,15.77905436,7.316796193,3736.790362,0.526692582,3737.317055,61.13360005,-2.609137521,3.02026776,15.92961595,3.991192296,15.31712719,57.13360005,0,0,0
13,2,48,278.5709296,27.74544128,10.50661176,359.5016555,4,0.4983445,0.878375048,0.477972044,9.228745608,5.021866702,50866.66045,0.003116524,50866.66357,225.5363908,-9.159446273,0.72533827,84.42157164,9.188121225,24.54651884,221.5363908,0,0,0
14,2,18,127.6178647,23.1677226,12.5874,359.5801461,3,0.4198539,0.913148504,0.407627046,11.49416548,5.130964684,5562.67147,20.44751486,5583.118985,74.72027158,-6.894026398,0.834436252,48.22388383,6.944341857,10.75987806,70.72027158,0,0,0
15,2,31,227.4344623,26.01484032,12.89058441,359.9224534,3,0.0775466,0.996994769,0.077468903,12.85184522,0.998619428,30415.3309,2.804871703,30418.13577,174.4079579,-5.536346657,-3.297909004,41.52733811,6.444170863,27.06445276,170.4079579,0,0,0
16,2,22,174.3999166,32.15568244,14.9879967,359.5558656,5,0.4441344,0.902982932,0.429676419,13.5339052,6.439988755,14729.55325,19.94575445,14749.499,121.4475154,-4.854286683,2.143460323,28.15852136,5.306460342,22.88672818,117.4475154,0,0,0
17,2,8,113.8847087,32.2115083,13.79922428,359.5788152,5,0.4211848,0.912605185,0.408841994,12.59324363,5.641702376,3702.742335,20.44751504,3723.18985,61.01794695,-5.794948255,1.345173943,35.39091822,5.949026661,10.25679501,57.01794695,0,0,0
18,2,43,158.3779012,23.50267762,14.3856,359.9173522,3,0.0826478,0.996586614,0.082553742,14.3364964,1.187585115,11097.22254,17.53044831,11114.75299,105.4265289,-4.051695484,-3.108943317,26.08176484,5.107030922,20.64340915,101.4265289,0,0,0
19,2,11,75.42070659,27.24300874,19.80062355,359.3757091,4,0.6242909,0.811377808,0.584522072,16.06578653,11.5739015,501.1401985,0.199457544,501.339656,22.39061536,-2.322405347,7.277373071,58.35372541,7.638961016,2.931107425,18.39061536,0,0,0
20,2,37,253.8400835,24.28423935,9.590399998,359.7670108,3,0.2329892,0.972980576,0.230886984,9.33127291,2.214298533,40322.864,11.59658631,40334.46059,200.8344109,-9.056918971,-2.082229899,86.3634626,9.293194424,21.61091243,196.8344109,0,0,0
21,2,6,52.4204615,32.15568244,14.985,359.6298885,5,0.3701115,0.93228702,0.361719384,13.97032099,5.420364972,0.377099429,19.94575445,20.32285388,4.508087608,-4.417870891,1.12383654,20.78059178,4.558573437,0.988925081,0.508087608,1,1,1
