frameNum,carId,carCenterXm,carCenterYm,speed(m/s),heading
0,0,52.86706821,13.17489767,8.06966946,33.30021297
1,0,114.8220244611,28.262946793399998,17.2996987905,356.44479659670003
2,0,114.88889830661098,32.116755083533995,13.834229025105001,359.547475013967
3,0,252.9479798230661,24.25202935403534,9.63283828827105,359.68603698413966
5,0,28.86195803,25.56823362,19.48971936,359.5031635
6,0,204.1707193313,31.094991532499996,14.448998452800002,359.51838059199997
9,0,204.8808239,23.50267762,12.59096735,359.5720149
0,1,155.1958285,30.92751404,14.68835784,359.771754
1,1,148.840056913,28.108867487300003,16.489806251399997,359.693951979
2,1,270.30990582913,23.935612579973,9.070931741364,359.77534999779
3,1,54.820426249891305,13.116702084199732,8.07968208281364,36.309322382277905
5,1,114.3871412,32.15568244,13.79922428,359.6648408
6,1,252.55608926000002,24.3629537809,9.632488240819999,359.687210642
9,1,76.03479078,27.24300874,19.80062355,359.444905
